Engine name;Human-readable name;Game modes
XP4_Quake;Epicenter;ConquestLarge0,ConquestSmall0,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0,GunMaster0,Scavenger0
XP4_FD;markaz Monolith;ConquestLarge0,ConquestSmall0,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0,GunMaster0,Scavenger0
XP4_Parl;Azadi Palace;ConquestLarge0,ConquestSmall0,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0,GunMaster0,Scavenger0
XP4_Rubble;Talah market;ConquestLarge0,ConquestSmall0,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0,GunMaster0,Scavenger0
